evaspot_name,japanese_name,evaspot_kind_name,diskinds,evaspot_capacity,cities_name,cities_subdiv,cities_subarea_name,shelter_status_name,longitude,latitude,内水氾濫,土石流,地震,大規模な火事,崖崩れ・地滑り,津波,洪水,高潮
障害者支援施設希望園,しょうがいしゃしえんしせつきぼうえん,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",43,大野市,大野市篠座79-53,大野地区,未開設,136.50137,35.964259,1,1,1,0,0,0,1,0
三角公園,みすみこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",2023,大野市,大野市美川町1201,大野地区,未開設,136.49797,35.986711,1,1,1,0,0,0,0,0
美里公園,みさとこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",781,大野市,大野市美里町401,大野地区,未開設,136.502185,35.983775,1,1,1,0,0,0,0,0
有終東小学校,ゆうしゅうひがししょうがっこう,指定避難所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",474,大野市,大野市美里町901,大野地区,未開設,136.5058,35.984739,1,1,1,0,0,0,0,0
若杉公園,わかすぎこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",1000,大野市,大野市若杉町1001,大野地区,未開設,136.500626,35.973951,1,1,1,0,0,0,0,0
茜公園,あかねこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",1020,大野市,大野市茜町107,大野地区,未開設,136.48492,35.97191,1,1,1,0,0,0,1,0
スターランドさかだに,すたーらんどさかだに,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",88,大野市,大野市蓑道1-4,阪谷地区,未開設,136.581151,35.990261,1,1,1,0,0,0,1,0
旧蕨生小学校,きゅうわらびょうしょうがっこう,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",267,大野市,大野市蕨生126-32,富田地区,未開設,136.551048,35.971526,1,1,1,0,0,0,1,0
道の駅「越前おおの　荒島の郷」,みちのえきえちぜんおおのあらしまのさと,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",24568,大野市,大野市蕨生137字21-1,富田地区,未開設,136.5523806,35.97242778,1,1,1,0,0,0,1,0
特別養護老人ホーム福井県済生会聖和園,とくべつようごろうじんほーむふくいさいせいかいせいわえん,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",110,大野市,大野市蕨生158-35,富田地区,未開設,136.547267,35.982128,1,1,1,0,0,0,1,0
五箇公民館,ごかこうみんかん,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",62,大野市,大野市西勝原13-1-5,五箇地区,未開設,136.597095,35.967433,1,1,1,0,0,0,1,0
陽明中学校,ようめいちゅうがっこう,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}, {'code': '8', 'name': '内水氾濫'}]",812,大野市,大野市陽明町3-1514,下庄地区,未開設,136.498099,35.993427,1,1,1,0,0,0,1,0
