河川名_河川名,局名_局名,所在地_所在地,最新観測時刻_最新観測時刻,水防団 待機水位 (通報水位)_[m],氾濫 注意水位 (警戒水位)_[m],避難 判断水位_[m],氾濫 危険水位_[m],河川 水位_[m],前回 水位 差分_[m],管理者名_管理者名
日野川,岩谷,南越前町岩谷,2025 08/19 23:30,---,---,---,---,→ 0.12,0.00,広野・桝谷ダム統管
鞍谷川,粟田部,越前市粟田部町,2025 08/19 23:30,1.30,1.80,1.90,2.50,→ 0.19,0.00,丹南土木
服部川,東庄境,越前市東庄境町,2025 08/19 23:30,1.10,1.50,---,2.20,→ 0.42,0.00,丹南土木
足羽川,稲荷,池田町稲荷,2025 08/19 23:30,2.50,2.90,3.50,3.80,→ 1.27,0.00,丹南土木
足羽川,河内,池田町河内,2025 08/19 23:30,---,---,---,---,→ -0.68,0.00,丹南土木
魚見川,新保,池田町新保,2025 08/19 23:30,1.70,3.00,---,4.40,→ 1.08,0.00,丹南土木
笙の川,呉竹,敦賀市呉竹,2025 08/19 23:30,1.30,1.70,2.20,2.90,↑ 0.65,0.10,敦賀土木
笙の川,堂,敦賀市堂,2025 08/19 23:30,2.00,3.00,---,4.00,→ -0.14,0.00,敦賀土木
笙の川,野神,敦賀市野神,2025 08/19 23:30,2.00,2.70,---,3.50,→ -0.17,0.00,敦賀土木
木の芽川,木の芽,敦賀市中,2025 08/19 23:30,---,---,---,---,→ 0.07,0.00,敦賀土木
井の口川,四石橋,敦賀市木崎,2025 08/19 23:30,1.00,1.70,2.10,2.40,↓ 0.57,-0.03,敦賀土木
耳川,河原市,美浜町河原市,2025 08/19 23:30,1.80,2.10,2.20,2.70,→ 0.91,0.00,敦賀土木
阿弥陀川,阿弥陀川-(町),美浜町丹生,2025 08/19 23:00,---,0.51,---,0.72,↑ 0.30,0.08,美浜町
丹生大川,丹生大川-(町),美浜町丹生,2025 08/19 23:00,---,0.84,---,1.17,↑ 0.47,0.10,美浜町
越地川,越地川-(町),美浜町菅浜,2025 08/19 23:00,---,0.54,---,1.35,→ 0.19,0.00,美浜町
金瀬川,金瀬川-(町),美浜町佐田,2025 08/19 23:00,---,0.54,---,1.35,↓ 0.01,-0.01,美浜町
佐柿区内河川,佐柿区内河川-(町),美浜町佐柿,2025 08/19 23:10,---,0.13,---,0.33,→ 0.00,0.00,美浜町
麻生川支流,麻生川支流-(町),美浜町麻生,2025 08/19 23:00,---,0.25,---,0.64,→ 0.02,0.00,美浜町
五十谷川,五十谷川-(町),美浜町五十谷,2025 08/19 23:00,---,0.46,---,1.15,→ 0.02,0.00,美浜町
奥谷川,奥谷川-(町),美浜町新庄,2025 08/19 23:00,---,0.64,---,1.61,→ 0.11,0.00,美浜町
南川,中井,小浜市中井,2025 08/19 23:30,1.80,3.20,---,5.10,→ 0.99,0.00,小浜土木
南川,和久里,小浜市和久里,2025 08/19 23:30,1.90,3.50,3.60,4.40,→ -0.22,0.00,小浜土木
南川,和多田,小浜市和多田,2025 08/19 23:30,2.10,4.50,---,7.70,→ 0.93,0.00,小浜土木
遠敷川,遠敷,小浜市遠敷,2025 08/19 23:30,2.50,2.80,2.90,3.60,→ 1.84,0.00,小浜土木
松永川,四分一,小浜市三分一,2025 08/19 23:30,1.90,2.40,---,3.30,→ 0.82,0.00,小浜土木
北川,高塚-(国),小浜市高塚,2025 08/19 23:30,5.20,6.80,7.00,7.70,→ 3.08,0.00,福井河川国道事務所
北川,西津-(国),小浜市雲浜,2025 08/19 23:30,---,---,---,---,↑ 0.58,0.01,福井河川国道事務所
南川,小倉,おおい町小倉,2025 08/19 23:30,2.10,3.70,---,4.40,→ 0.85,0.00,小浜土木
関屋川,小和田,高浜町小和田,2025 08/19 23:30,2.00,2.50,3.80,4.10,→ 0.64,0.00,小浜土木
佐分利川,本郷,おおい町本郷,2025 08/19 23:30,1.40,2.00,2.10,2.50,↓ -0.17,-0.02,小浜土木
大津呂川,山田,大飯郡おおい町本郷,2025 08/19 23:30,---,---,---,---,→ -0.13,0.00,河内川・大津呂ダム統管
黒津川,黒津川水門（黒津川水位）,鯖江市御幸町,2025 08/19 23:30,9.40,9.65,---,10.70,→ 6.47,0.00,鯖江丹生分庁舎
日野川,糺橋,鯖江市糺町,2025 08/19 23:30,3.20,4.20,4.60,5.50,→ 0.29,0.00,鯖江丹生分庁舎
浅水川,出作,鯖江市三尾野出作町,2025 08/19 23:30,5.00,5.50,---,7.50,→ 0.45,0.00,鯖江丹生分庁舎
鞍谷川,松成,鯖江市松成町,2025 08/19 23:30,1.80,2.90,---,6.20,→ 0.30,0.00,鯖江丹生分庁舎
浅水川,黒津川水門（浅水川水位）,鯖江市御幸町,2025 08/19 23:30,---,---,---,---,→ 6.48,0.00,鯖江丹生分庁舎
河和田川,北中,鯖江市北中町１７字,2025 08/19 23:30,0.70,1.20,---,1.90,→ 0.21,0.00,鯖江丹生分庁舎
浅水川,鳥羽,鯖江市御幸町,2025 08/19 23:30,4.40,4.90,5.10,6.10,→ 0.56,0.00,鯖江丹生分庁舎
和田川,田中,丹生郡越前町田中,2025 08/19 23:30,---,---,---,---,→ 6.87,0.00,鯖江丹生分庁舎
日野川,石田川水門（日野川水位）,鯖江市石田下町,2025 08/19 23:30,---,---,---,---,→ 6.68,0.00,鯖江丹生分庁舎
石田川,石田川水門（石田川水位）,鯖江市石田下町,2025 08/19 23:30,---,---,---,---,→ 6.77,0.00,鯖江丹生分庁舎
神通川,西大井-(市),鯖江市西大井町,2025 08/19 23:00,---,---,---,---,→ 0.17,0.00,鯖江市
神通川,川去-(市),鯖江市川去町,2025 08/19 23:00,---,---,---,---,↓ 0.48,-0.01,鯖江市
天王川,宝泉寺,越前町宝泉寺,2025 08/19 23:30,2.00,2.60,2.70,3.70,→ 0.24,0.00,鯖江丹生分庁舎
和田川,近田橋,越前町上川去,2025 08/19 23:30,2.00,3.00,---,4.00,→ 0.27,0.00,鯖江丹生分庁舎
天王川,江波,越前町江波,2025 08/19 23:30,1.00,1.40,---,2.00,→ 0.63,0.00,鯖江丹生分庁舎
開谷川,陶の谷-(町),越前町陶の谷,2025 08/19 23:30,---,---,---,---,→ 0.20,0.00,越前町
はす川,鳥浜,若狭町鳥浜,2025 08/19 23:30,1.00,1.20,2.30,2.50,→ 0.64,0.00,敦賀土木
三方湖,三方湖,若狭町田井,2025 08/19 23:30,0.70,1.00,---,1.30,→ 0.52,0.00,敦賀土木
北川,天徳寺-(国),若狭町堤,2025 08/19 23:30,---,---,---,---,→ -0.20,0.00,福井河川国道事務所
北川,新道-(国),若狭町新道,2025 08/19 23:30,---,---,---,---,→ 1.22,0.00,福井河川国道事務所
