河川名_河川名,局名_局名,所在地_所在地,最新観測時刻_最新観測時刻,水防団 待機水位 (通報水位)_[m],氾濫 注意水位 (警戒水位)_[m],避難 判断水位_[m],氾濫 危険水位_[m],河川 水位_[m],前回 水位 差分_[m],管理者名_管理者名
足羽川,九十九橋,福井市照手,2025 08/19 20:10,3.50,4.80,6.80,7.40,→ -1.26,0.00,福井土木
荒川,河増,福井市河増町,2025 08/19 20:10,2.50,2.70,---,3.60,→ 1.38,0.00,福井土木
江端川,江端川水門（江端川水位）,福井市下江守,2025 08/19 20:10,5.70,6.20,---,8.00,↑ 0.51,0.01,福井土木
日野川,江端川水門（日野川水位）,福井市下江守,2025 08/19 20:10,---,---,---,---,→ 0.60,0.00,福井土木
狐川,狐川水門（狐川水位）,福井市角折町,2025 08/19 20:10,3.40,4.30,---,7.00,↑ 1.50,0.01,福井土木
日野川,狐川水門（日野川水位）,福井市角折町,2025 08/19 20:10,---,---,---,---,→ 0.59,0.00,福井土木
荒川,荒川水門（荒川水位）,福井市勝見１丁目,2025 08/19 20:10,6.50,8.30,---,10.50,↑ 4.07,0.01,福井土木
足羽川,荒川水門（足羽川水位）,福井市勝見１丁目,2025 08/19 20:10,---,---,---,---,→ 2.04,0.00,福井土木
荒川,原目,福井市原目町16,2025 08/19 20:10,1.20,1.30,1.40,1.70,→ 0.26,0.00,福井土木
江端川,江端,福井市江端町,2025 08/19 20:10,1.70,2.60,3.20,3.90,→ 0.50,0.00,福井土木
狐川,若杉,福井市若杉,2025 08/19 20:10,2.90,3.70,---,5.10,→ 1.89,0.00,福井土木
底喰川,上里,福井市文京5丁目,2025 08/19 20:10,3.30,3.80,---,5.15,→ 2.79,0.00,福井土木
芳野川,上森田,福井市上野本町,2025 08/19 20:10,6.30,7.00,---,8.08,→ 6.02,0.00,福井土木
朝六ツ川,安保（朝六ツ川）,福井市安保町,2025 08/19 20:10,6.80,7.20,---,8.20,→ 6.49,0.00,福井土木
九頭竜川,中角-(国),福井市中角町,2025 08/19 20:10,5.00,7.50,8.50,9.10,→ 0.46,0.00,福井河川国道事務所
九頭竜川,高屋-(国),福井市高屋町,2025 08/19 20:10,3.90,5.90,---,---,→ 1.25,0.00,福井河川国道事務所
日野川,三尾野-(国),福井市三尾野町,2025 08/19 20:10,3.50,5.50,6.50,7.00,→ -1.58,0.00,福井河川国道事務所
日野川,久喜津-(国),福井市久喜津町,2025 08/19 20:10,5.50,7.70,---,---,↑ 0.43,0.01,福井河川国道事務所
足羽川,天神橋-(国),福井市脇三ヶ町,2025 08/19 20:10,---,---,---,---,→ -1.95,0.00,福井河川国道事務所
日野川,深谷-(国),福井市深谷町,2025 08/19 20:10,4.00,6.00,6.90,7.50,→ 4.42,0.00,福井河川国道事務所
九頭竜川,布施田-(国),福井市布施田,2025 08/19 20:10,3.50,5.00,---,---,→ 0.71,0.00,福井河川国道事務所
足羽川,朝谷,福井市朝谷町,2025 08/19 20:10,1.20,2.50,2.70,3.50,→ -0.02,0.00,福井土木
九頭竜川,五松橋-(国),永平寺町松岡五松橋,2025 08/19 20:10,1.50,2.50,---,---,→ -2.55,0.00,福井河川国道事務所
永平寺川,諏訪間,永平寺町京善,2025 08/19 20:10,1.10,1.90,---,3.00,↑ 0.08,0.01,龍ヶ鼻・永平寺ダム統管
竹田川,岩崎(金井),坂井市三国町楽円３,2025 08/19 20:10,2.60,3.00,---,3.70,→ 0.40,0.00,三国土木
九頭竜川,三国-(国),坂井市三国町新保,2025 08/19 20:10,0.90,1.60,---,---,↑ 0.50,0.02,福井河川国道事務所
竹田川,矢地,あわら市矢地1,2025 08/19 20:10,4.00,5.00,---,5.80,→ 1.01,0.00,三国土木
竹田川,六日,あわら市市姫2,2025 08/19 20:10,3.50,4.00,4.20,4.40,→ 0.66,0.00,三国土木
竹田川,石塚,あわら市北疋田,2025 08/19 20:00,3.50,4.00,---,4.60,↑ 0.75,0.01,龍ヶ鼻・永平寺ダム統管
竹田川,里竹田,坂井市丸岡町里竹田28,2025 08/19 20:10,2.50,3.00,---,4.00,→ 0.37,0.00,三国土木
竹田川,平岩,坂井市丸岡町上竹田,2025 08/19 20:00,3.00,3.30,---,3.90,↓ 0.39,-0.01,龍ヶ鼻・永平寺ダム統管
竹田川,川上,坂井市丸岡町上竹田,2025 08/19 20:00,1.80,2.10,---,4.00,→ 0.66,0.00,龍ヶ鼻・永平寺ダム統管
竹田川,坪江,坂井市丸岡町川上,2025 08/19 20:00,1.90,2.20,---,2.80,→ 0.70,0.00,龍ヶ鼻・永平寺ダム統管
兵庫川,下兵庫,坂井市春江町井向22,2025 08/19 20:10,2.60,3.10,4.10,4.30,→ 0.25,0.00,三国土木
磯部川,安沢橋(石塚),坂井市春江町安沢24,2025 08/19 20:10,3.20,3.70,---,4.50,↑ 0.63,0.03,三国土木
田島川,長屋,坂井市坂井町長屋32,2025 08/19 20:10,2.50,3.20,---,4.20,→ 1.03,0.00,三国土木
九頭竜川,松丸,大野市松丸,2025 08/19 20:10,3.00,4.00,---,5.00,→ 0.00,0.00,奥越土木
真名川,井ノ口,大野市井ノ口,2025 08/19 20:10,3.00,4.00,---,5.00,→ 1.07,0.00,奥越土木
清滝川,新在家,大野市新在家,2025 08/19 20:10,1.20,1.50,1.60,1.90,→ 0.45,0.00,奥越土木
赤根川,大橋,大野市中野,2025 08/19 20:10,1.90,2.20,2.40,2.60,→ 1.06,0.00,奥越土木
真名川,黒当戸,大野市黒当戸,2025 08/19 20:00,---,---,---,---,→ 4.62,0.00,笹生川・浄土寺川ダム統管
真名川,秋生,大野市秋生,2025 08/19 20:00,---,---,---,---,→ 1.04,0.00,笹生川・浄土寺川ダム統管
浄土寺川,砂留花橋（第３水位局）,勝山市村岡町,2025 08/19 20:10,---,---,---,---,→ 0.16,0.00,笹生川・浄土寺川ダム統管
浄土寺川,長山,勝山市長山町,2025 08/19 20:10,---,---,---,---,→ 0.12,0.00,笹生川・浄土寺川ダム統管
浄土寺川,栄,勝山市松原,2025 08/19 20:10,---,---,---,---,→ 0.11,0.00,笹生川・浄土寺川ダム統管
真名川,五条方下流-(国),大野市五条方,2025 08/19 20:10,---,---,---,---,→ -0.01,0.00,九頭竜川ダム統管
九頭竜川,朝日-(国),大野市大字朝日,2025 08/19 20:10,---,---,---,---,→ 0.98,0.00,九頭竜川ダム統管
真名川,中島-(国),大野市上笹又,2025 08/19 20:10,---,---,---,---,→ 0.94,0.00,九頭竜川ダム統管
真名川,麻生島-(国),大野市川島,2025 08/19 20:10,---,---,---,---,→ 1.08,0.00,九頭竜川ダム統管
石徹白川,貝皿,大野市朝日,2025 08/19 20:10,1.40,3.00,---,5.00,→ 0.43,0.00,奥越土木
九頭竜川,箱ヶ瀬-(国),大野市箱ヶ瀬,2025 08/19 20:10,---,---,---,---,→ 551.71,0.00,九頭竜川ダム統管
石徹白川,山原-(国),大野市大字朝日57,2025 08/19 20:10,---,---,---,---,→ 458.14,0.00,九頭竜川ダム統管
石徹白川,石徹白-(国),大野市三面6,2025 08/19 20:10,---,---,---,---,→ 569.98,0.00,九頭竜川ダム統管
九頭竜川,比島,勝山市遅羽町比島,2025 08/19 20:10,3.60,4.60,4.70,5.30,→ 0.86,0.00,奥越土木
九頭竜川,小舟渡,永平寺町上志比藤巻,2025 08/19 20:10,2.30,3.30,---,5.30,→ 0.39,0.00,奥越土木
日野川,中平吹,越前市中平吹町,2025 08/19 20:10,2.50,3.50,---,4.00,→ 0.48,0.00,丹南土木
浅水川,北,越前市北町,2025 08/19 20:10,1.80,2.30,---,2.80,→ 0.14,0.00,丹南土木
吉野瀬川,上太田,越前市上太田町,2025 08/19 20:10,2.00,2.40,2.50,3.20,→ 0.42,0.00,丹南土木
日野川,家久(鯖江),鯖江市上鯖江町,2025 08/19 20:10,2.00,2.50,---,4.00,↓ 0.10,-0.01,広野・桝谷ダム統管
吉野瀬川,家久（吉野瀬川）,越前市家久町,2025 08/19 20:10,1.10,1.90,---,2.70,→ -0.37,0.00,丹南土木
